class,org,org_type,pi_first,pi_sur,pclass,status,owner,end,grant,scheme,start,total
Civil Engineering Materials,University of Sheffield,LEADRO,Neil Brennan,Milestone,Materials processing,Closed,EPSRC,12/31/2006,Research Grant,Overseas Travel Grants Pre-FEC,1/1/2006,16582.9
Materials Characterisation,Swansea University,LEADRO,Valerie,Randle,Materials sciences,Closed,EPSRC,12/31/2006,Research Grant,Standard Research (Pre-FEC),1/1/2006,62664.15
Medical science & disease,University of Southampton,LEADRO,Timothy G,Leighton,Medical & health interface,Closed,EPSRC,12/31/2006,Research Grant,Follow on Fund (Pre-FEC),1/1/2006,57311.33
Vision & Senses - ICT appl.,Sunnybrook Technologies Inc,COLLABORATOR,Alan,Chalmers,Info. & commun. Technol.,Closed,EPSRC,2/28/2007,Research Grant,Standard Research (Pre-FEC),1/1/2006,324148.88
Materials Characterisation,The University of Manchester,LEADRO,Matthew,Halsall,Materials sciences,Closed,EPSRC,3/31/2007,Research Grant,Standard Research (Pre-FEC),1/1/2006,18233.2
Non-linear Systems Mathematics,University of Sheffield,LEADRO,Nicholas,Monk,,Closed,EPSRC,6/30/2007,Research Grant,Standard Research (Pre-FEC),1/1/2006,75862.0492
Aerodynamics,University of Bath,LEADRO,Ismet,Gursul,Mechanical engineering,Closed,EPSRC,6/30/2007,Research Grant,Standard Research (Pre-FEC),1/1/2006,70643.13
Lasers & Optics,University of Southampton,LEADRO,Jacob,Mackenzie,"Optics, photonics & lasers",Closed,EPSRC,12/31/2007,Research Grant,First Grant Scheme Pre-FEC,1/1/2006,117613.7492
Hydrological Processes,University of Oxford,LEADRO,Helen,Brindley,,Closed,NERC,12/31/2007,Research Grant,Standard Grants Pre FEC,1/1/2006,44390.82
Materials Characterisation,University of Birmingham,LEADRO,Ian,Jones,Materials sciences,Closed,EPSRC,1/31/2008,Research Grant,Standard Research (Pre-FEC),1/1/2006,118015.9936
Materials Characterisation,University of Surrey,LEADRO,Richard,Curry,Materials sciences,Closed,EPSRC,3/31/2008,Research Grant,First Grant Scheme Pre-FEC,1/1/2006,121970.3436
Pollution,Lancaster University,LEADRO,Kevin,Jones,,Closed,NERC,3/31/2008,Research Grant,Follow on Fund Pre FEC,1/1/2006,61307.79
Pollution,University of Cambridge,LEADRO,Richard,Cox,,Closed,NERC,6/30/2008,Research Grant,Standard Grants Pre FEC,1/1/2006,189325.71
Tectonic Processes,Durham University,LEADRO,Roger Clive,Searle,Geosciences,Closed,NERC,8/31/2008,Research Grant,Standard Grants Pre FEC,1/1/2006,210152.88
Energy Efficiency,ANSYS,PROJECTPARNTER,Malcolm,Cook,Energy,Closed,EPSRC,11/30/2008,Research Grant,Standard Research (Pre-FEC),1/1/2006,220374.53
Mathematical Physics,Imperial College London,LEADRO,Bogdan,Stefanski,Mathematical sciences,Closed,EPSRC,12/31/2008,Fellowship,Advanced Fellowship (Pre-FEC),1/1/2006,270754.71
Fluid Dynamics,University of Cambridge,LEADRO,Matthew,Lim,Process engineering,Closed,EPSRC,12/31/2008,Fellowship,Postdoc Res Fellowship PreFEC,1/1/2006,140464.55
Aerodynamics,BAE Systems,COLLABORATOR,Kwing-So,Choi,Mechanical engineering,Closed,EPSRC,12/31/2008,Research Grant,Standard Research (Pre-FEC),1/1/2006,188838.03
Multimedia,University of Edinburgh,LEADRO,Stefan,Bilbao,,Closed,EPSRC,12/31/2008,Research Grant,First Grant Scheme Pre-FEC,1/1/2006,83491.98
Instrumentation Eng. & Dev.,University of St Andrews,LEADRO,Graham,Smith,Chemical measurement,Closed,EPSRC,12/31/2008,Research Grant,Standard Research (Pre-FEC),1/1/2006,141137.3
Materials testing & eng.,University of Reading,LEADRO,Anthony,Atkins,Civil eng. & built environment,Closed,EPSRC,12/31/2008,Research Grant,Standard Research (Pre-FEC),1/1/2006,12279
Electric Motor & Drive Systems,University of Nottingham,LEADRO,Seamus,Garvey,Electrical engineering,Closed,EPSRC,12/31/2008,Research Grant,Standard Research (Pre-FEC),1/1/2006,205464.45
Design & Testing Technology,University of Bristol,LEADRO,David,Wagg,Manufacturing,Closed,EPSRC,12/31/2008,Research Grant,Standard Research (Pre-FEC),1/1/2006,57369.84
Aerodynamics,University of Southampton,LEADRO,Ian P,Castro,Mechanical engineering,Closed,EPSRC,12/31/2008,Research Grant,Standard Research (Pre-FEC),1/1/2006,192237.5092
Quantum Optics & Information,University College London,LEADRO,Andrew,Fisher,"Optics, photonics & lasers",Closed,EPSRC,12/31/2008,Research Grant,Standard Research (Pre-FEC),1/1/2006,354535.27
Hydrological Processes,Imperial College London,LEADRO,Helen,Brindley,,Closed,NERC,12/31/2008,Research Grant,Standard Grants Pre FEC,1/1/2006,149413.19
Bioprocess Engineering,W & H Marriage & Sons Ltd,PROJECTPARNTER,Colin,Webb,,Closed,EPSRC,12/31/2008,Research Grant,Standard Research (Pre-FEC),1/1/2006,298012.6888
Non-linear Systems Mathematics,University of Nottingham,LEADRO,Markus,Owen,,Closed,EPSRC,3/31/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,133960.9476
VLSI Design,University of Cambridge,LEADRO,Simon,Moore,Info. & commun. Technol.,Closed,EPSRC,3/31/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,474054.08
Medical science & disease,University of Nottingham,LEADRO,Christopher,Hayes,Medical & health interface,Closed,EPSRC,5/31/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,321427.185
Lasers & Optics,University of Lisbon,COLLABORATOR,Dino Anthony,Jaroszynski,"Optics, photonics & lasers",Closed,EPSRC,6/30/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,319789.4938
Networks & Distributed Systems,University of Southampton,LEADRO,Lajos,Hanzo,,Closed,EPSRC,6/30/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,369841.774
Instrumentation Eng. & Dev.,University of Bristol,LEADRO,Paul,Wilcox,Chemical measurement,Closed,EPSRC,6/30/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,206026.055
Fundamentals of Computing,Swansea University,LEADRO,John,Tucker,Info. & commun. Technol.,Closed,EPSRC,6/30/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,258041.73
RF & Microwave Technology,Imperial College London,LEADRO,Jeffrey,Hand,Info. & commun. Technol.,Closed,EPSRC,6/30/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,246618.85
System on Chip,University of Southampton,LEADRO,Michael,Kraft,Info. & commun. Technol.,Closed,EPSRC,6/30/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,110984.11
Networks & Distributed Systems,VCE Mobile & Personal Comm Ltd,PROJECTPARNTER,Rahim,Tafazolli,,Closed,EPSRC,6/30/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,437207.4074
Image & Vision Computing,Association for Biometrics,PROJECTPARNTER,Michael,Fairhurst,Info. & commun. Technol.,Closed,EPSRC,6/30/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,63872.22
Separation processes,Polymer Laboratories Ltd,COLLABORATOR,Nigel,Slater,,Closed,EPSRC,9/30/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,205011.81
Quantum Optics & Information,Hewlett Packard plc,COLLABORATOR,Peter,Smith,"Optics, photonics & lasers",Closed,EPSRC,9/30/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,303738.44
Biomaterials,Royal National Orthopaedic Hospital,PROJECTPARNTER,Michael,Craggs,Atomic & molecular physics,Closed,EPSRC,9/30/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,534856.9966
Fundamentals of Computing,City University London,LEADRO,Sebastian,Hunt,Info. & commun. Technol.,Closed,EPSRC,12/31/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,96356.8298
Analytical Science,University of Glasgow,LEADRO,Stephen,Wimperis,"Tools, technologies & methods",Closed,EPSRC,12/31/2009,Research Grant,Standard Research (Pre-FEC),1/1/2006,229921.45
Regional & Extreme Weather,University of Leeds,LEADRO,Andrew,Ross,,Closed,NERC,1/31/2010,Research Grant,Standard Grants Pre FEC,1/1/2006,247810.58
Land - Atmosphere Interactions,University of East Anglia,LEADRO,Timothy,Lenton,,Closed,NERC,2/28/2010,Research Grant,Directed Pre FEC,1/1/2006,258938.12
New & Emerging Comp. Paradigms,University of Leeds,LEADRO,Netta,Cohen,Info. & commun. Technol.,Closed,EPSRC,9/30/2010,Research Grant,Standard Research (Pre-FEC),1/1/2006,612868.47
New & Emerging Comp. Paradigms,University of Sheffield,LEADRO,Christopher,Cannings,Info. & commun. Technol.,Closed,EPSRC,9/30/2010,Research Grant,Standard Research (Pre-FEC),1/1/2006,848607.0296
Conservation Ecology,University of St Andrews,LEADRO,Michael,Fedak,,Closed,NERC,11/30/2010,Research Grant,Standard Grants Pre FEC,1/1/2006,253740.47
Mathematical Physics,University of Miami,COLLABORATOR,Paul,Townsend,Mathematical sciences,Closed,EPSRC,12/31/2010,Fellowship,Senior Fellowship (Pre-FEC),1/1/2006,348955.41
Lasers & Optics,University of Leeds,LEADRO,Catherine Elizabeth,Towers,"Optics, photonics & lasers",Closed,EPSRC,12/31/2010,Fellowship,Advanced Fellowship (Pre-FEC),1/1/2006,245557.95
Fluid Dynamics,Imperial College London,LEADRO,Spencer,Sherwin,Process engineering,Closed,EPSRC,12/31/2010,Fellowship,Advanced Fellowship (Pre-FEC),1/1/2006,356881.24
Materials Characterisation,University of Cambridge,LEADRO,Judith,Driscoll,Materials sciences,Closed,EPSRC,1/2/2007,Research Grant,Standard Research (Pre-FEC),1/3/2006,58604.81
Civil Engineering Materials,Building Research Establishment Ltd BRE,PROJECTPARNTER,Ahmed,Elghazouli,Materials processing,Closed,EPSRC,1/2/2009,Research Grant,Standard Research (Pre-FEC),1/3/2006,240290.52
Hydrogeology,University of Cambridge,LEADRO,Jonathan,Gibbins,,Closed,NERC,2/2/2009,Research Grant,TSEC Pre FEC,1/3/2006,129998.99
Quantum Optics & Information,Hewlett Packard plc,COLLABORATOR,Ian,Walmsley,"Optics, photonics & lasers",Closed,EPSRC,7/2/2009,Research Grant,Standard Research (Pre-FEC),1/3/2006,401744.79
Networks & Distributed Systems,University of Bristol,LEADRO,Mark,Beach,,Closed,EPSRC,7/2/2009,Research Grant,Standard Research (Pre-FEC),1/3/2006,446710.6482
Light-Matter Interactions,University of Nottingham,LEADRO,Andrei,Khlobystov,Atomic & molecular physics,Closed,EPSRC,7/2/2009,Research Grant,Standard Research (Pre-FEC),1/3/2006,59030.9548
Analytical Science,Ionoptika Ltd,PROJECTPARNTER,Roger,Webb,"Tools, technologies & methods",Closed,EPSRC,1/2/2010,Research Grant,Standard Research (Pre-FEC),1/3/2006,227208.062
Instrumentation Eng. & Dev.,Imperial College London (ICL),COLLABORATOR,jemma,wadham,Chemical measurement,Closed,EPSRC,1/2/2011,Research Grant,Standard Research (Pre-FEC),1/3/2006,566140.88
Environment & Health,Loughborough University,LEADRO,David,Ryves,Medical & health interface,Closed,NERC,2/3/2009,Research Grant,New Investigators Pre FEC,1/4/2006,40428.29
Materials Processing,Qinetiq Ltd,COLLABORATOR,Andrew,Turberfield,Materials processing,Closed,EPSRC,7/5/2006,Research Grant,Standard Research (Pre-FEC),1/6/2006,59925
Logic & Combinatorics,Durham University,LEADRO,Iain,Stewart,,Closed,EPSRC,4/7/2006,Research Grant,Standard Research (Pre-FEC),1/8/2006,19000
Lasers & Optics,Pilkington Group Limited,COLLABORATOR,Li,Lin,"Optics, photonics & lasers",Closed,EPSRC,7/8/2008,Research Grant,Standard Research (Pre-FEC),1/9/2006,581996.56
Condensed Matter Physics,Defence Science & Tech Lab DSTL,COFUNDER,Mike,Gillan,"Supercond, magn. &quant.fluids",Closed,EPSRC,1/8/2009,Research Grant,Standard Research (Pre-FEC),1/9/2006,184559.43
Instrumentation Eng. & Dev.,BAE Systems,COLLABORATOR,Paul,Nolan,Chemical measurement,Closed,EPSRC,7/8/2009,Research Grant,Standard Research (Pre-FEC),1/9/2006,169231.4
Electrochemical Science & Eng.,University of Surrey,LEADRO,Robert,Slade,Catalysis & surfaces,Closed,EPSRC,10/11/2006,Research Grant,Overseas Travel Grants Pre-FEC,1/12/2006,20289.93
Ocean Circulation,University of Reading,LEADRO,Christopher,Pain,,Closed,NERC,4/11/2007,Research Grant,Consortiums Pre FEC,1/12/2006,385028.67
Properties Of Earth Materials,University of Liverpool,LEADRO,David,Prior,,Closed,NERC,9/12/2009,Research Grant,Directed Pre FEC,1/13/2006,176169.22
Chemical Synthetic Methodology,Durham University,LEADRO,Paul,Low,,Closed,EPSRC,4/13/2006,Research Grant,Overseas Travel Grants (OTGS),1/14/2006,18908.2
Fundamentals of Computing,London School of Economics & Pol Sci,LEADRO,E,Mitleton- Kelly,Info. & commun. Technol.,Closed,EPSRC,1/15/2008,Research Grant,Standard Research (Pre-FEC),1/16/2006,74406.9
Acoustics,University of York,LEADRO,Damian,Murphy,Mechanical engineering,Closed,EPSRC,7/15/2008,Research Grant,Standard Research (Pre-FEC),1/16/2006,42946.1808
Materials Synthesis & Growth,European Commission (EC),COLLABORATOR,J,Attfield,Materials sciences,Closed,EPSRC,1/15/2009,Research Grant,Standard Research (Pre-FEC),1/16/2006,363671.5146
Analytical Science,Police Forensic Science Laboratory Dunde,COLLABORATOR,Lorna,Dawson,"Tools, technologies & methods",Closed,EPSRC,1/15/2009,Research Grant,Standard Research (Pre-FEC),1/16/2006,314319.79
Biomaterials,University of Leeds,LEADRO,David,Wood,Atomic & molecular physics,Closed,EPSRC,1/15/2009,Research Grant,Standard Research (Pre-FEC),1/16/2006,102642.695
Population Ecology,University of Birmingham,LEADRO,Jeffrey,Bale,,Closed,NERC,4/15/2009,Research Grant,Standard Grants Pre FEC,1/16/2006,218997.87
Ocean Circulation,Cardiff University,LEADRO,Neil,Mitchell,,Closed,NERC,1/16/2007,Research Grant,Directed Pre FEC,1/17/2006,215550.44
Materials Synthesis & Growth,University of Geneva,PROJECTPARNTER,James Floyd,Scott,Materials sciences,Closed,EPSRC,7/20/2009,Research Grant,Standard Research (Pre-FEC),1/21/2006,194935.91
Reactor Engineering,Penn State University,COLLABORATOR,Eileen,Yu,,Closed,EPSRC,7/29/2009,Fellowship,Postdoc Res Fellowship PreFEC,1/30/2006,154117.2
Fundamentals of Computing,University of Abertay Dundee,LEADRO,James,Bown,Info. & commun. Technol.,Closed,EPSRC,5/31/2006,Research Grant,Standard Research (Pre-FEC),2/1/2006,15198.04
Materials Characterisation,University of Sheffield,LEADRO,W,Rainforth,Materials sciences,Closed,EPSRC,7/31/2006,Research Grant,Standard Research,2/1/2006,40234.13
Climate & Climate Change,University of Cambridge,LEADRO,Nicholas,Shackleton,Climate & climate change,Closed,NERC,7/31/2006,Research Grant,Directed Pre FEC,2/1/2006,12217.16
Climate & Climate Change,Marine Biological Association,LEADRO,Stephen,Hawkins,Climate & climate change,Closed,NERC,10/31/2006,Research Grant,Small Grants (FEC),2/1/2006,67622.59
Vision & Senses - ICT appl.,University of Bristol,LEADRO,Alan,Chalmers,Info. & commun. Technol.,Closed,EPSRC,11/30/2006,Research Grant,Standard Research (Pre-FEC),2/1/2006,13516.385
Multiphase Flow,Imperial College London,LEADRO,Peter,Spelt,Process engineering,Closed,EPSRC,2/29/2008,Research Grant,First Grant Scheme Pre-FEC,2/1/2006,125929.42
Complex fluids & soft solids,University of Leeds,LEADRO,Richard,Williams,Catalysis & surfaces,Closed,EPSRC,4/30/2008,Research Grant,Standard Research (Pre-FEC),2/1/2006,335350.6618
Fundamentals of Computing,University of Leicester,LEADRO,Alexander,Kurz,Info. & commun. Technol.,Closed,EPSRC,5/31/2008,Research Grant,First Grant Scheme Pre-FEC,2/1/2006,118516.298
Image & Vision Computing,University of Ulster,LEADRO,Sonya,Coleman,Info. & commun. Technol.,Closed,EPSRC,7/31/2008,Research Grant,First Grant Scheme Pre-FEC,2/1/2006,125952.28
Surfaces & Interfaces,Imperial College London,LEADRO,Bhavik,Patel,Catalysis & surfaces,Closed,EPSRC,1/31/2009,Fellowship,Postdoc Res Fellowship PreFEC,2/1/2006,139525.94
Tectonic Processes,Newcastle University,LEADRO,Matt,King,Geosciences,Closed,NERC,1/31/2009,Fellowship,Postdoctoral Fellow,2/1/2006,154705.06
Instrumentation Eng. & Dev.,Imperial College London (ICL),COLLABORATOR,Achillefs,Kapanidis,Chemical measurement,Closed,EPSRC,1/31/2009,Research Grant,First Grant Scheme Pre-FEC,2/1/2006,121217.33
Vision & Senses - ICT appl.,Harman Becker Automotive Systems,COLLABORATOR,Russell,Mason,Info. & commun. Technol.,Closed,EPSRC,1/31/2009,Research Grant,First Grant Scheme Pre-FEC,2/1/2006,113577.3892
Aerodynamics,Imperial College London,LEADRO,Jonathan,Morrison,Mechanical engineering,Closed,EPSRC,1/31/2009,Research Grant,Standard Research (Pre-FEC),2/1/2006,260441.43
Boundary Layer Meteorology,University of Leeds,LEADRO,Mathew,Evans,Atmospheric phys. & chemistry,Closed,NERC,5/31/2009,Research Grant,Standard Grants Pre FEC,2/1/2006,152273.06
Networks & Distributed Systems,King's College London,LEADRO,Hamid,Aghvami,,Closed,EPSRC,6/30/2009,Research Grant,Standard Research (Pre-FEC),2/1/2006,404575.96
Biological & Medicinal Chem.,King's College London,LEADRO,Ramadan,Abuknesha,,Closed,EPSRC,7/31/2009,Research Grant,Standard Research (Pre-FEC),2/1/2006,274824.5168
Instrumentation Eng. & Dev.,Imperial College London,LEADRO,Daniel,Rueckert,Chemical measurement,Closed,EPSRC,7/31/2009,Research Grant,Standard Research (Pre-FEC),2/1/2006,262791.56
Materials Characterisation,King's College London,LEADRO,Alessandro,De Vita,Materials sciences,Closed,EPSRC,7/31/2009,Research Grant,Standard Research (Pre-FEC),2/1/2006,206469.27
Land - Ocean Interactions,Plymouth Marine Laboratory,LEADRO,Julian,Allen,,Closed,NERC,7/31/2009,Research Grant,Directed Pre FEC,2/1/2006,129045.95
Intelligent & Expert Systems,Royal Hallamshire Hospital,PROJECTPARNTER,Mahdi,Mahfouf,Systems engineering,Closed,EPSRC,7/31/2009,Research Grant,Standard Research (Pre-FEC),2/1/2006,224214.2118
Quantum Fluids & Solids,Newcastle University,LEADRO,Carlo,Barenghi,"Supercond, magn. &quant.fluids",Closed,EPSRC,8/31/2009,Research Grant,Standard Research (Pre-FEC),2/1/2006,176823.6836
Water In The Atmosphere,University of Reading,LEADRO,Robin,Hogan,Atmospheric phys. & chemistry,Closed,NERC,9/30/2009,Research Grant,Standard Grants Pre FEC,2/1/2006,198569.75
Water In The Atmosphere,University of Reading,LEADRO,Anthony,Illingworth,Atmospheric phys. & chemistry,Closed,NERC,12/31/2009,Research Grant,Standard Grants Pre FEC,2/1/2006,245992.96
Scattering & Spectroscopy,CERN,PROJECTPARNTER,Mike,Charlton,Atomic & molecular physics,Closed,EPSRC,1/31/2010,Research Grant,Standard Research (Pre-FEC),2/1/2006,787314.98
Cells,University of Glasgow,LEADRO,Lutz,Hecht,,Closed,EPSRC,2/28/2010,Research Grant,Standard Research (Pre-FEC),2/1/2006,312389.336
Analytical Science,University of Cambridge,LEADRO,Chris,Abell,"Tools, technologies & methods",Closed,EPSRC,7/31/2011,Research Grant,Platform Grants (Pre-FEC),2/1/2006,428640.4244
Fundamentals of Computing,University of Reading,PROJECTPARNTER,Ian,Roulstone,Info. & commun. Technol.,Closed,EPSRC,2/1/2010,Research Grant,Standard Research (Pre-FEC),2/2/2006,149961.5202
Climate & Climate Change,University of Reading,LEADRO,Andrew,Charlton-Perez,Climate & climate change,Closed,NERC,9/5/2008,Fellowship,Postdoctoral Fellow,2/6/2006,125564.19
Materials Characterisation,Penn State University,COLLABORATOR,Andrew,Wills,Materials sciences,Closed,EPSRC,11/5/2009,Research Grant,Standard Research (Pre-FEC),2/6/2006,533577.75
Medical Imaging,University College London,LEADRO,David,Hawkes,"Tools, technologies & methods",Closed,EPSRC,8/13/2009,Research Grant,Technology Programme (Pre-FEC),2/14/2006,398285.9568
Cosmology,The University of Manchester,LEADRO,Stefan,Soldner-Rembold,Particle astrophysics,Closed,STFC,8/13/2009,Research Grant,Standard,2/14/2006,293999.67
Med.Instrument.Device& Equip.,Imperial College London,LEADRO,Sergei,Kazarian,Medical & health interface,Closed,EPSRC,11/14/2008,Research Grant,Standard Research (Pre-FEC),2/15/2006,176707.73
Co-ordination Chemistry,University of Oxford,LEADRO,Dermot,O'Hare,,Closed,EPSRC,8/14/2009,Research Grant,Standard Research (Pre-FEC),2/15/2006,203611.1846
Electronic Devices & Subsys.,University of Birmingham,LEADRO,Mike,Cherniakov,Info. & commun. Technol.,Closed,EPSRC,8/15/2008,Research Grant,Technology Programme (Pre-FEC),2/16/2006,204366.3012
Climate & Climate Change,National Oceanography Centre,LEADRO,Ian,Brooks,Climate & climate change,Closed,NERC,2/15/2009,Research Grant,Directed Pre FEC,2/16/2006,236798.23
Climate & Climate Change,National Oceanography Centre,LEADRO,Andrew,Watson,Climate & climate change,Closed,NERC,2/16/2010,Research Grant,Directed Pre FEC,2/17/2006,59887.88
Eng. Dynamics & Tribology,Defence Science & Tech Lab DSTL,COFUNDER,Rafal,Zbikowski,Mechanical engineering,Closed,EPSRC,2/19/2009,Research Grant,Standard Research (Pre-FEC),2/20/2006,269268.4
Surfaces & Interfaces,University of Warwick,LEADRO,David,Woodruff,Catalysis & surfaces,Closed,EPSRC,8/19/2009,Research Grant,Standard Research (Pre-FEC),2/20/2006,291284.0368
Materials Characterisation,Loughborough University,LEADRO,Jon,Binner,Materials sciences,Closed,EPSRC,3/26/2006,Research Grant,Standard Research (Pre-FEC),2/27/2006,11949.35
Climate & Climate Change,University of Reading,LEADRO,Jonathan,Gibbins,Climate & climate change,Closed,NERC,2/27/2009,Research Grant,TSEC Pre FEC,2/28/2006,77520.19
Separation processes,University Hospitals of Leicester NHS,PROJECTPARNTER,Danish,Malik,,Closed,EPSRC,8/31/2006,Research Grant,Standard Research (Pre-FEC),3/1/2006,17211.73
Fundamentals of Computing,City University London,LEADRO,Celia A.,Glass,Info. & commun. Technol.,Closed,EPSRC,11/30/2006,Research Grant,Discipline Hopping Pre-FEC,3/1/2006,34461.4092
Structural Engineering,Amphora NDT,COLLABORATOR,Muhammed,Basheer,,Closed,EPSRC,4/30/2007,Research Grant,Standard Research (Pre-FEC),3/1/2006,20562.88
Catalysis & Applied Catalysis,University of Cambridge,LEADRO,Heike,Arnolds,Catalysis & surfaces,Closed,EPSRC,6/30/2007,Research Grant,Standard Research (Pre-FEC),3/1/2006,259290.96
Non-linear Systems Mathematics,University of Kent,LEADRO,Vladimir,Novikov,,Closed,EPSRC,7/31/2007,Fellowship,Postdoc Res Fellowship PreFEC,3/1/2006,116792.06
Information & Knowledge Mgmt,World Wide Web Consortium (W3C),COLLABORATOR,Ian,Horrocks,,Closed,EPSRC,8/31/2007,Fellowship,Senior Fellowship (Pre-FEC),3/1/2006,369194.47
Climate & Climate Change,University of Oxford,LEADRO,Gideon,Henderson,Climate & climate change,Closed,NERC,2/29/2008,Research Grant,Directed Pre FEC,3/1/2006,122257.41
Image & Vision Computing,University of Liverpool,LEADRO,David,Canter,Info. & commun. Technol.,Closed,EPSRC,6/30/2008,Research Grant,Standard Research (Pre-FEC),3/1/2006,100501.185
Analytical Science,Police Forensic Science Laboratory Dunde,PROJECTPARNTER,Wolfram,Meier-Augenstein,"Tools, technologies & methods",Closed,EPSRC,12/31/2008,Research Grant,Standard Research (Pre-FEC),3/1/2006,113589.78
RF & Microwave Technology,Russian Academy of Sciences,COLLABORATOR,Alan,Phelps,Info. & commun. Technol.,Closed,EPSRC,2/28/2009,Research Grant,Standard Research (Pre-FEC),3/1/2006,212786.23
Fundamentals of Computing,The University of Manchester,LEADRO,Jeff,Paris,Info. & commun. Technol.,Closed,EPSRC,2/28/2009,Research Grant,Standard Research (Pre-FEC),3/1/2006,164356.464
Med.Instrument.Device& Equip.,University of Birmingham,LEADRO,Damien,Walmsley,Medical & health interface,Closed,EPSRC,2/28/2009,Research Grant,Standard Research (Pre-FEC),3/1/2006,90569.238
Magnetism/Magnetic Phenomena,Loughborough University,LEADRO,A,Alexandrov,"Supercond, magn. &quant.fluids",Closed,EPSRC,2/28/2009,Research Grant,Standard Research (Pre-FEC),3/1/2006,160723.95
Mantle & Core Processes,Durham University,LEADRO,Colin,Macpherson,,Closed,NERC,2/28/2009,Research Grant,Standard Grants Pre FEC,3/1/2006,208792.34
Fundamentals of Computing,University of Edinburgh,LEADRO,Mary,Cryan,Info. & commun. Technol.,Closed,EPSRC,3/31/2009,Research Grant,First Grant Scheme Pre-FEC,3/1/2006,80933.4792
Artificial Intelligence,The University of Manchester,LEADRO,Norman,Paton,,Closed,EPSRC,4/30/2009,Research Grant,Standard Research (Pre-FEC),3/1/2006,178212.01
Logic & Combinatorics,Aston University,LEADRO,Michal,Konecny,,Closed,EPSRC,5/31/2009,Research Grant,First Grant Scheme Pre-FEC,3/1/2006,121495.1486
Heat & Mass Transfer,Wieland-Werke AG,PROJECTPARNTER,Peter,Kew,Mechanical engineering,Closed,EPSRC,5/31/2009,Research Grant,Standard Research (Pre-FEC),3/1/2006,230787.6
Palaeoenvironments,University of St Andrews,LEADRO,Michael,Bird,Climate & climate change,Closed,NERC,7/31/2009,Research Grant,Standard Grants Pre FEC,3/1/2006,222982.76
